"I","PI0","PI1","QI","LI","TI"
124,150,150,8.4,11,5
125,140,140,9.3,11,5
126,120,120,52.5,11,5
127,110,110,185.6,11,5
128,100,100,29.7,11,5
129,93,93,0.4,11,5
130,92,92,0.7,11,5
131,91,91,0.1,11,5
132,90,90,547.8,11,5
133,89.99,89.99,200,11,5
134,84.98,84.98,300,11,5
135,80.78,80.78,1297.4,11,5
136,80,80,340.5,11,5
137,75.77,75.77,89.9,11,5
138,75,75,69.3,11,5
139,70.68,70.68,8.6,11,5
140,70,70,9.3,11,5
141,66.18,66.18,0.1,11,5
142,65,65,70,11,5
143,60,60,126.2,11,5
144,55,55,10,11,5
145,52.06,52.06,0.1,11,5
146,50,50,22.2,11,5
147,47.41,47.41,61.2,11,5
148,43.4,43.4,20,11,5
149,42.5,42.5,4.9,11,5
150,40.4,40.4,20,11,5
151,40,40,332.7,11,5
152,39,39,11.8,11,5
153,38.4,38.4,10,11,5
154,35,35,42.2,11,5
155,34,34,1.3,11,5
156,30.5,30.5,4.8,11,5
157,30,30,99.3,11,5
158,26,26,50,11,5
159,25,25,110.5,11,5
160,20.5,20.5,2.4,11,5
161,20,20,75.1,11,5
162,15,15,52.1,11,5
163,14.55,14.55,50,11,5
164,11.38,11.38,0.9,11,5
165,10,10,25,11,5
166,8,8,50,11,5
167,5,5,10.3,11,5
168,3.9,3.9,20,11,5
169,3,3,197,11,5
170,2,2,272,11,5
171,1,1,256.1,11,5
172,0.5,0.5,452,11,5
173,0.4,0.4,73,11,5
174,0.3,0.3,100,11,5
175,0.2,0.2,113.2,11,5
176,0.1,0.1,139.3,11,5
177,0.07,0.07,300,11,5
178,0.01,0.01,104,11,5
179,0,0,758.3,11,5
180,180.3,180.3,18287.6,11,6
181,180,180,10.9,11,6
182,179.99,179.99,65,11,6
183,150,150,8.5,11,6
184,140,140,9,11,6
185,120,120,51.5,11,6
186,110,110,185.3,11,6
187,100,100,27.8,11,6
188,93,93,0.5,11,6
189,92,92,0.7,11,6
190,91,91,0.1,11,6
191,90,90,544.4,11,6
192,89.99,89.99,200,11,6
193,85.5,85.5,1299.7,11,6
194,84.98,84.98,300,11,6
195,80,80,340.5,11,6
196,75.77,75.77,86.2,11,6
197,75,75,71.9,11,6
198,73,73,9,11,6
199,70,70,9.6,11,6
200,65.76,65.76,0.1,11,6
201,65,65,68,11,6
202,60,60,124.7,11,6
203,55,55,10,11,6
204,52.06,52.06,0.1,11,6
205,50,50,22.2,11,6
206,47.41,47.41,61.2,11,6
207,43.4,43.4,20,11,6
208,42.5,42.5,5.1,11,6
209,40.4,40.4,20,11,6
210,40,40,324.3,11,6
211,39,39,12,11,6
212,38.4,38.4,10,11,6
213,35.5,35.5,1.3,11,6
214,35,35,41.6,11,6
215,32,32,50,11,6
216,31,31,50,11,6
217,30.5,30.5,5.1,11,6
218,30,30,49.1,11,6
219,25,25,109.9,11,6
220,20.5,20.5,2.5,11,6
221,20,20,74.5,11,6
222,16.88,16.88,50,11,6
223,15,15,51.3,11,6
224,12.04,12.04,0.9,11,6
225,10,10,24.1,11,6
226,8,8,70,11,6
227,5,5,10.3,11,6
228,3,3,197.1,11,6
229,2,2,272,11,6
230,1,1,255.7,11,6
231,0.5,0.5,451.7,11,6
232,0.4,0.4,73,11,6
233,0.3,0.3,100,11,6
234,0.2,0.2,113.5,11,6
235,0.1,0.1,139,11,6
236,0.07,0.07,300,11,6
237,0.01,0.01,104,11,6
238,0,0,758.3,11,6
239,180.3,180.3,18333.4,11,7
240,180,180,11.7,11,7
241,179.99,179.99,95,11,7
242,150,150,9.1,11,7
243,140,140,8.9,11,7
244,120,120,53.2,11,7
245,110,110,185.7,11,7
246,100,100,27.9,11,7
247,94.17,94.17,1259.4,11,7
248,93,93,0.5,11,7
249,92,92,0.8,11,7
250,91,91,0.1,11,7
251,90,90,889.9,11,7
252,89.99,89.99,200,11,7
253,84.98,84.98,300,11,7
254,80,80,0.5,11,7
255,77.83,77.83,10.1,11,7
256,75.77,75.77,85.3,11,7
257,75,75,64,11,7
258,70,70,10,11,7
259,65.56,65.56,0.1,11,7
260,65,65,1,11,7
261,60,60,88.2,11,7
262,52.06,52.06,0.1,11,7
263,50,50,2.5,11,7
264,49.17,49.17,70.5,11,7
265,47.41,47.41,61.2,11,7
266,45.5,45.5,5.8,11,7
267,44.17,44.17,10.5,11,7
268,43.4,43.4,20,11,7
269,41.2,41.2,1.3,11,7
270,40.4,40.4,20,11,7
271,40,40,334.4,11,7
272,39,39,13,11,7
273,38.4,38.4,10,11,7
274,35.5,35.5,5.7,11,7
275,35,35,43.1,11,7
276,30.23,30.23,49.9,11,7
277,30,30,110.9,11,7
278,25.5,25.5,2.9,11,7
279,25,25,161.7,11,7
280,24,24,50,11,7
281,20,20,76.1,11,7
282,19.37,19.37,50,11,7
283,15,15,53.4,11,7
284,13.86,13.86,1,11,7
285,12.4,12.4,20,11,7
286,10,10,9.7,11,7
287,9,9,5.4,11,7
288,8,8,50,11,7
289,5.5,5.5,5.4,11,7
290,5,5,10.3,11,7
291,3,3,197.1,11,7
292,2,2,272,11,7
293,1,1,256.9,11,7
294,0.5,0.5,450.8,11,7
295,0.4,0.4,73,11,7
296,0.3,0.3,100,11,7
297,0.2,0.2,113.5,11,7
298,0.1,0.1,138.2,11,7
299,0.07,0.07,300,11,7
300,0.01,0.01,104,11,7
301,0,0,758.4,11,7
302,180.3,180.3,19224.5,11,8
303,180,180,12.7,11,8
304,179.99,179.99,145,11,8
305,150,150,10.5,11,8
306,140,140,8.6,11,8
307,120,120,57.2,11,8
308,110,110,202.7,11,8
309,105.19,105.19,1170.9,11,8
310,100,100,12.4,11,8
311,93,93,0.5,11,8
312,92,92,1.1,11,8
313,91,91,0.2,11,8
314,90.37,90.37,11.9,11,8
315,90,90,897.5,11,8
316,89.99,89.99,200,11,8
317,84.98,84.98,300,11,8
318,80,80,91.6,11,8
319,75.77,75.77,86.7,11,8
320,75,75,74.2,11,8
321,70,70,8.2,11,8
322,66.86,66.86,0.1,11,8
323,65,65,0.8,11,8
324,60.19,60.19,78.5,11,8
325,55.19,55.19,18.5,11,8
326,52.3,52.3,1.3,11,8
327,52.06,52.06,0.1,11,8
328,50,50,2.8,11,8
329,47.5,47.5,5.8,11,8
330,47.41,47.41,81.6,11,8
331,43.4,43.4,20,11,8
332,40.4,40.4,20,11,8
333,40,40,356.9,11,8
334,39.5,39.5,5.7,11,8
335,39,39,14.8,11,8
336,38.4,38.4,10,11,8
337,35,35,47,11,8
338,32,32,50,11,8
339,30.48,30.48,50,11,8
340,30,30,66.5,11,8
341,25,25,165.5,11,8
342,22.5,22.5,4.8,11,8
343,22,22,50,11,8
344,20,20,80.2,11,8
345,19.3,19.3,20,11,8
346,19.21,19.21,50,11,8
347,16.54,16.54,1,11,8
348,15,15,57.7,11,8
349,10,10,9.5,11,8
350,9,9,50.5,11,8
351,8,8,50,11,8
352,5.5,5.5,50.5,11,8
353,5,5,10.3,11,8
354,3,3,197.1,11,8
355,2,2,272,11,8
356,1,1,259.5,11,8
357,0.5,0.5,89.9,11,8
358,0.4,0.4,73,11,8
359,0.3,0.3,100,11,8
360,0.2,0.2,113.3,11,8
361,0.1,0.1,137.2,11,8
362,0.07,0.07,300,11,8
363,0.01,0.01,104,11,8
364,0,0,1118.4,11,8
365,180.3,180.3,19535.8,11,9
366,180,180,14.5,11,9
367,179.99,179.99,65,11,9
368,160,160,0.1,11,9
369,150,150,8,11,9
370,140,140,9.1,11,9
371,120.94,120.94,87.7,11,9
372,120,120,60.9,11,9
373,110,110,204.4,11,9
374,108.03,108.03,1072.5,11,9
375,107.63,107.63,102,11,9
376,100,100,12.9,11,9
377,93.06,93.06,15.2,11,9
378,93,93,0.5,11,9
379,92,92,3.2,11,9
380,91,91,0.2,11,9
381,90,90,896.8,11,9
382,89.99,89.99,200,11,9
383,84.98,84.98,300,11,9
384,80,80,193,11,9
385,75,75,0.2,11,9
386,70,70,95.9,11,9
387,68,68,47.5,11,9
388,66.86,66.86,0.1,11,9
389,65,65,10.8,11,9
390,60,60,30,11,9
391,54,54,5.8,11,9
392,52.06,52.06,0.1,11,9
393,51.9,51.9,1.5,11,9
394,50,50,3.1,11,9
395,46,46,5.8,11,9
396,43.4,43.4,20,11,9
397,40.4,40.4,20,11,9
398,40,40,370.7,11,9
399,39,39,16.6,11,9
400,38.4,38.4,10,11,9
401,36,36,50,11,9
402,35,35,51.1,11,9
403,34.17,34.17,50,11,9
404,30,30,59.6,11,9
405,29,29,6.2,11,9
406,28.7,28.7,20,11,9
407,25,25,119.8,11,9
408,24.5,24.5,85,11,9
409,24,24,50,11,9
410,20,20,84.7,11,9
411,16.86,16.86,1.2,11,9
412,15,15,113,11,9
413,10,10,10.3,11,9
414,9,9,87.7,11,9
415,8,8,45.7,11,9
416,5.5,5.5,87.4,11,9
417,5,5,5,11,9
418,3,3,197.1,11,9
419,2,2,272,11,9
420,1,1,221.6,11,9
421,0.5,0.5,89.1,11,9
422,0.2,0.2,7.7,11,9
423,0.1,0.1,61.5,11,9
424,0.07,0.07,300,11,9
425,0.01,0.01,104,11,9
426,0,0,1118.4,11,9
427,180.3,180.3,21543.3,11,10
428,180,180,17.2,11,10
429,179.99,179.99,15,11,10
430,160,160,0.1,11,10
431,150,150,8.9,11,10
432,140,140,10.4,11,10
433,120.94,120.94,87.1,11,10
434,120,120,70.1,11,10
435,115.13,115.13,1080.8,11,10
436,110,110,205.3,11,10
437,107.63,107.63,127.5,11,10
438,100,100,14.3,11,10
439,97.85,97.85,16.9,11,10
440,93,93,0.5,11,10
441,92,92,3.2,11,10
442,91,91,0.2,11,10
443,90,90,904.9,11,10
444,89.99,89.99,200,11,10
445,84.98,84.98,300,11,10
446,80,80,249.9,11,10
447,79.98,79.98,99.5,11,10
448,75,75,0.2,11,10
449,74.98,74.98,59.5,11,10
450,71.48,71.48,0.1,11,10
451,70,70,9.7,11,10
452,65,65,10.8,11,10
453,63.2,63.2,1.5,11,10
454,60,60,30,11,10
455,54,54,6.8,11,10
456,52.06,52.06,0.1,11,10
457,50,50,121.6,11,10
458,46,46,6.8,11,10
459,43.4,43.4,20,11,10
460,41.11,41.11,72.3,11,10
461,40.4,40.4,20,11,10
462,40,40,31.5,11,10
463,39,39,20,11,10
464,38.48,38.48,49.9,11,10
465,38.4,38.4,10,11,10
466,35,35,4.5,11,10
467,33.11,33.11,54.2,11,10
468,32.1,32.1,20,11,10
469,30,30,47.8,11,10
470,29,29,7.1,11,10
471,27.33,27.33,150,11,10
472,27.11,27.11,54.2,11,10
473,25,25,7.3,11,10
474,24.11,24.11,54.2,11,10
475,22,22,50,11,10
476,20,20,2.7,11,10
477,19.11,19.11,54.2,11,10
478,19,19,0.3,11,10
479,17.96,17.96,1.5,11,10
480,16.11,16.11,72.3,11,10
481,15,15,55,11,10
482,10,10,9.7,11,10
483,9,9,87.5,11,10
484,8,8,40.7,11,10
485,7,7,50,11,10
486,5.5,5.5,87.5,11,10
487,5,5,5,11,10
488,3,3,197.1,11,10
489,2,2,272,11,10
490,1,1,226.2,11,10
491,0.5,0.5,172.1,11,10
492,0.2,0.2,6.5,11,10
493,0.1,0.1,60,11,10
494,0.01,0.01,188.4,11,10
495,0,0,1118.5,11,10
496,180.3,180.3,23276.8,11,11
497,180,180,18.1,11,11
498,179.99,179.99,35,11,11
499,160,160,0.1,11,11
500,150,150,9.4,11,11
501,140,140,11.8,11,11
502,120.94,120.94,88,11,11
503,120,120,74.7,11,11
504,115.53,115.53,1084.8,11,11
505,110,110,207.5,11,11
506,107.63,107.63,153,11,11
507,100,100,15.1,11,11
508,98.58,98.58,17.7,11,11
509,93,93,0.5,11,11
510,92,92,3.2,11,11
511,91,91,0.3,11,11
512,90,90,931.4,11,11
513,89.99,89.99,200,11,11
514,84.98,84.98,300,11,11
515,80,80,264.5,11,11
516,79.07,79.07,105.5,11,11
517,75,75,0.2,11,11
518,74.69,74.69,0.1,11,11
519,74.07,74.07,65.5,11,11
520,70,70,9.9,11,11
521,66.6,66.6,1.4,11,11
522,65,65,10.8,11,11
523,60,60,30,11,11
524,54,54,7.2,11,11
525,52.06,52.06,0.1,11,11
526,50,50,133.8,11,11
527,48.11,48.11,74.8,11,11
528,46,46,7.1,11,11
529,45.74,45.74,49.9,11,11
530,45,45,50,11,11
531,43.4,43.4,20,11,11
532,41,41,50,11,11
533,40.4,40.4,20,11,11
534,40.11,40.11,56.1,11,11
535,40,40,33,11,11
536,39,39,21.4,11,11
537,38.4,38.4,10,11,11
538,35,35,4.9,11,11
539,34.11,34.11,56.1,11,11
540,31.11,31.11,56.1,11,11
541,30,30,48.3,11,11
542,29.04,29.04,150,11,11
543,29,29,7.5,11,11
544,26.8,26.8,40,11,11
545,26.11,26.11,56.1,11,11
546,25.8,25.8,40,11,11
547,25,25,8.1,11,11
548,23.11,23.11,74.8,11,11
549,20,20,2.6,11,11
550,19,19,0.3,11,11
551,18.53,18.53,1.6,11,11
552,18,18,5,11,11
553,15,15,50,11,11
554,10,10,8.9,11,11
555,9,9,87.5,11,11
556,8,8,39.9,11,11
557,5.5,5.5,87.5,11,11
558,5,5,5,11,11
559,3,3,197,11,11
560,2,2,200,11,11
561,1,1,227.6,11,11
562,0.5,0.5,175.6,11,11
563,0.2,0.2,5.6,11,11
564,0.1,0.1,59.5,11,11
565,0.01,0.01,192.5,11,11
566,0,0,1118.5,11,11
567,180.3,180.3,24110.8,11,12
568,180,180,18.1,11,12
569,179.99,179.99,10,11,12
570,160,160,0.1,11,12
571,150,150,9.4,11,12
572,140,140,12.6,11,12
573,120.94,120.94,87.8,11,12
574,120,120,79.6,11,12
575,110.02,110.02,1086.3,11,12
576,110,110,201.4,11,12
577,107.63,107.63,153,11,12
578,100,100,322,11,12
579,97.31,97.31,17.9,11,12
580,93,93,0.5,11,12
581,92,92,3.3,11,12
582,91,91,0.2,11,12
583,90,90,615,11,12
584,89.99,89.99,200,11,12
585,84.98,84.98,300,11,12
586,80,80,259,11,12
587,75.13,75.13,0.1,11,12
588,75,75,0.2,11,12
589,72.5,72.5,107,11,12
590,70,70,10,11,12
591,67.5,67.5,67,11,12
592,65,65,10.8,11,12
593,64.4,64.4,1.3,11,12
594,60,60,30,11,12
595,52.06,52.06,0.1,11,12
596,51,51,6.6,11,12
597,50,50,137.4,11,12
598,49.2,49.2,49.9,11,12
599,46.02,46.02,75.4,11,12
600,43.4,43.4,20,11,12
601,43,43,6.6,11,12
602,41,41,50,11,12
603,40.4,40.4,20,11,12
604,40,40,32.9,11,12
605,39,39,21.5,11,12
606,38.4,38.4,10,11,12
607,38.02,38.02,56.6,11,12
608,35,35,5.2,11,12
609,32.02,32.02,56.6,11,12
610,30,30,98.5,11,12
611,29.02,29.02,56.6,11,12
612,28.22,28.22,150,11,12
613,26,26,8.6,11,12
614,25.9,25.9,45,11,12
615,25,25,8.6,11,12
616,24.9,24.9,50,11,12
617,24.02,24.02,56.6,11,12
618,21.02,21.02,75.4,11,12
619,20,20,2.7,11,12
620,19,19,0.4,11,12
621,18.17,18.17,1.6,11,12
622,15,15,50,11,12
623,13,13,5,11,12
624,10,10,8.6,11,12
625,9,9,87.5,11,12
626,8,8,39.7,11,12
627,5.5,5.5,87.5,11,12
628,5,5,5,11,12
629,3,3,196.7,11,12
630,2,2,200,11,12
631,1,1,227.9,11,12
632,0.5,0.5,177.3,11,12
633,0.2,0.2,5.1,11,12
634,0.1,0.1,59.5,11,12
635,0.01,0.01,194.2,11,12
636,0,0,1120.5,11,12
637,180.3,180.3,18948.7,11,13
638,180,180,17.2,11,13
639,160,160,0.1,11,13
640,150,150,9.5,11,13
641,140,140,12.9,11,13
642,120.94,120.94,88.1,11,13
643,120,120,78.7,11,13
644,110.02,110.02,1123.7,11,13
645,110,110,204.8,11,13
646,107.63,107.63,153,11,13
647,100,100,322.2,11,13
648,99.23,99.23,17.2,11,13
649,93,93,0.4,11,13
650,92,92,2.9,11,13
651,91,91,0.2,11,13
652,90,90,575.8,11,13
653,89.99,89.99,200,11,13
654,85,85,0.3,11,13
655,84.98,84.98,300,11,13
656,80,80,253.5,11,13
657,78,78,104,11,13
658,75,75,0.2,11,13
659,74.9,74.9,0.1,11,13
660,73,73,64,11,13
661,70,70,9.7,11,13
662,65,65,10.5,11,13
663,64.8,64.8,1.3,11,13
664,60,60,30,11,13
665,52.06,52.06,0.1,11,13
666,50,50,137.6,11,13
667,49.12,49.12,49.9,11,13
668,49,49,5.8,11,13
669,46.29,46.29,71.9,11,13
670,46,46,50,11,13
671,43.4,43.4,20,11,13
672,41,41,5.7,11,13
673,40.4,40.4,20,11,13
674,40,40,31.9,11,13
675,39,39,70.7,11,13
676,38.4,38.4,10,11,13
677,38.29,38.29,53.9,11,13
678,35,35,5.2,11,13
679,32.29,32.29,53.9,11,13
680,30.75,30.75,145,11,13
681,30,30,48.4,11,13
682,29.29,29.29,53.9,11,13
683,27.9,27.9,75,11,13
684,26.9,26.9,50,11,13
685,25,25,8.4,11,13
686,24.29,24.29,53.9,11,13
687,24,24,9.4,11,13
688,21.29,21.29,71.9,11,13
689,20,20,2.9,11,13
690,19,19,0.3,11,13
691,18.56,18.56,1.6,11,13
692,15,15,50,11,13
693,10,10,8.7,11,13
694,9,9,53,11,13
695,8,8,39.1,11,13
696,5.5,5.5,53,11,13
697,5,5,5,11,13
698,3,3,196.8,11,13
699,2,2,200,11,13
700,1,1,226.1,11,13
701,0.5,0.5,178.5,11,13
702,0.2,0.2,5.1,11,13
703,0.1,0.1,59.9,11,13
704,0.01,0.01,194.9,11,13
705,0,0,6815.4,11,13
706,180.3,180.3,19014.1,11,14
707,180,180,15.6,11,14
708,179.99,179.99,25,11,14
709,160,160,0.1,11,14
710,150,150,9,11,14
711,140,140,13.4,11,14
712,120.94,120.94,86.1,11,14
713,120,120,71.9,11,14
714,110,110,204.7,11,14
715,107.63,107.63,153,11,14
716,106.31,106.31,1076.2,11,14
717,100,100,321.1,11,14
718,97.6,97.6,13.5,11,14
719,93,93,0.4,11,14
720,92,92,1.1,11,14
721,91,91,0.2,11,14
722,90,90,557.7,11,14
723,89.99,89.99,200,11,14
724,85,85,0.3,11,14
725,84.98,84.98,300,11,14
726,80,80,222.5,11,14
727,75.34,75.34,0.2,11,14
728,75,75,0.2,11,14
729,70.13,70.13,91,11,14
730,70,70,8.4,11,14
731,68,68,51,11,14
732,65,65,10,11,14
733,60,60,30,11,14
734,56,56,1.5,11,14
735,52.39,52.39,49.9,11,14
736,52.06,52.06,0.1,11,14
737,50,50,125.3,11,14
738,49,49,4.9,11,14
739,43.4,43.4,20,11,14
740,41,41,54.9,11,14
741,40.94,40.94,61.9,11,14
742,40.4,40.4,20,11,14
743,40,40,30,11,14
744,39,39,16.8,11,14
745,38.4,38.4,10,11,14
746,35,35,5.1,11,14
747,34,34,50,11,14
748,32.94,32.94,46.4,11,14
749,30,30,47.9,11,14
750,29,29,0.3,11,14
751,26.94,26.94,46.4,11,14
752,25.9,25.9,100,11,14
753,25,25,7.9,11,14
754,24,24,8.1,11,14
755,23.94,23.94,46.4,11,14
756,22.6,22.6,75,11,14
757,21.6,21.6,50,11,14
758,20,20,2.8,11,14
759,18.94,18.94,46.4,11,14
760,18.3,18.3,1.2,11,14
761,18,18,5,11,14
762,15.94,15.94,61.9,11,14
763,15,15,50,11,14
764,10,10,9.6,11,14
765,8,8,91.3,11,14
766,5,5,58.1,11,14
767,3,3,286.9,11,14
768,2,2,290,11,14
769,1,1,221.2,11,14
770,0.5,0.5,169.9,11,14
771,0.2,0.2,5.2,11,14
772,0.1,0.1,61.4,11,14
773,0.05,0.05,90,11,14
774,0.01,0.01,184.8,11,14
775,0,0,6853.3,11,14
776,180.3,180.3,18928.3,11,15
777,180,180,14.4,11,15
778,179.99,179.99,55,11,15
779,150,150,8.4,11,15
780,140,140,13.9,11,15
781,120.94,120.94,83.7,11,15
782,120,120,68.9,11,15
783,110,110,204.3,11,15
784,107.63,107.63,153,11,15
785,105.28,105.28,966.5,11,15
786,100,100,320.1,11,15
787,96.07,96.07,12.1,11,15
788,93,93,0.4,11,15
789,92,92,1,11,15
790,91,91,0.3,11,15
791,90,90,524.9,11,15
792,89.99,89.99,200,11,15
793,85,85,0.2,11,15
794,84.98,84.98,300,11,15
795,80,80,201.2,11,15
796,76.06,76.06,0.2,11,15
797,75,75,0.2,11,15
798,70,70,88.8,11,15
799,68,68,41.5,11,15
800,65,65,10,11,15
801,60,60,30,11,15
802,57.9,57.9,1.3,11,15
803,53.27,53.27,50,11,15
804,52.06,52.06,0.1,11,15
805,50,50,118.7,11,15
806,49,49,4.3,11,15
807,43.4,43.4,20,11,15
808,42,42,50,11,15
809,41,41,4.2,11,15
810,40.4,40.4,20,11,15
811,40,40,83,11,15
812,39,39,14.1,11,15
813,38.4,38.4,10,11,15
814,35,35,46.6,11,15
815,33,33,50,11,15
816,30,30,88.8,11,15
817,29,29,0.3,11,15
818,27.12,27.12,100,11,15
819,25,25,48.8,11,15
820,24,24,7,11,15
821,20,20,44,11,15
822,18,18,5,11,15
823,17.45,17.45,1.1,11,15
824,16.9,16.9,40,11,15
825,15.9,15.9,45,11,15
826,15,15,105.3,11,15
827,10,10,10.4,11,15
828,8,8,115,11,15
829,5,5,86.9,11,15
830,3,3,287,11,15
831,2,2,290,11,15
832,1,1,217.7,11,15
833,0.5,0.5,164.1,11,15
834,0.2,0.2,5.3,11,15
835,0.1,0.1,62.6,11,15
836,0.05,0.05,90,11,15
837,0.01,0.01,177.8,11,15
838,0,0,7076.8,11,15
839,180.3,180.3,18281.9,11,16
840,180,180,13.7,11,16
841,179.99,179.99,95,11,16
842,150,150,8,11,16
843,140,140,13.2,11,16
844,120.94,120.94,82.4,11,16
845,120,120,64.4,11,16
846,110,110,203.5,11,16
847,107.63,107.63,153,11,16
848,104.23,104.23,1061.9,11,16
849,100,100,319.5,11,16
850,93,93,0.4,11,16
851,92.7,92.7,11.2,11,16
852,92,92,1,11,16
853,91,91,0.2,11,16
854,90,90,521.1,11,16
855,89.99,89.99,200,11,16
856,85,85,0.2,11,16
857,84.98,84.98,300,11,16
858,80,80,105.8,11,16
859,75,75,0.2,11,16
860,72.38,72.38,0.2,11,16
861,70,70,84.3,11,16
862,68,68,37.5,11,16
863,65,65,10,11,16
864,60,60,118.2,11,16
865,54.7,54.7,1.3,11,16
866,52.88,52.88,50,11,16
867,52.06,52.06,0.1,11,16
868,50,50,112.9,11,16
869,49,49,3.3,11,16
870,43.4,43.4,20,11,16
871,41,41,3.2,11,16
872,40.4,40.4,20,11,16
873,40,40,82.3,11,16
874,39,39,13.1,11,16
875,38.4,38.4,10,11,16
876,35,35,41.6,11,16
877,34,34,50,11,16
878,32.03,32.03,125,11,16
879,30,30,87,11,16
880,29,29,50,11,16
881,25,25,45,11,16
882,24,24,7.9,11,16
883,20,20,40.5,11,16
884,19,19,0.3,11,16
885,17.8,17.8,45,11,16
886,16.82,16.82,1,11,16
887,15,15,107.3,11,16
888,10,10,10.4,11,16
889,8,8,66.4,11,16
890,5,5,42.9,11,16
891,3,3,287.3,11,16
892,2,2,290,11,16
893,1,1,216.3,11,16
894,0.5,0.5,162.7,11,16
895,0.2,0.2,5.9,11,16
896,0.1,0.1,63.2,11,16
897,0.05,0.05,90,11,16
898,0.01,0.01,175.9,11,16
899,0,0,6775.5,11,16
900,180.3,180.3,17702.6,11,17
901,180,180,13.3,11,17
902,179.99,179.99,150,11,17
903,150,150,7.8,11,17
904,140,140,12.7,11,17
905,120.94,120.94,81.5,11,17
906,120,120,62.8,11,17
907,110,110,185.2,11,17
908,107.63,107.63,135.3,11,17
909,104,104,1170,11,17
910,100,100,319.5,11,17
911,93.3,93.3,17.7,11,17
912,93,93,0.4,11,17
913,92.48,92.48,10.9,11,17
914,92,92,1,11,17
915,91,91,0.2,11,17
916,90,90,493.6,11,17
917,89.99,89.99,200,11,17
918,85,85,0.2,11,17
919,84.98,84.98,300,11,17
920,80,80,104.2,11,17
921,75,75,0.2,11,17
