"I","PI0","PI1","QI","LI","TI"
80,2.99,2.99,105,11,1
81,2,2,100,11,1
82,1,1,121.7,11,1
83,0.5,0.5,99.8,11,1
84,0.1,0.1,62.2,11,1
85,0,0,9381.5,11,1
86,180.3,180.3,11649.2,11,2
87,180,180,547,11,2
88,150,150,8.8,11,2
89,140,140,8.9,11,2
90,130,130,6.3,11,2
91,120,120,51.4,11,2
92,110,110,203.9,11,2
93,100,100,300.6,11,2
94,97,97,0.3,11,2
95,96.3,96.3,61.2,11,2
96,91,91,0.1,11,2
97,90,90,98.7,11,2
98,89.99,89.99,200,11,2
99,86.4,86.4,942.7,11,2
100,84.98,84.98,300,11,2
101,84.28,84.28,10.4,11,2
102,80,80,340,11,2
103,76,76,0.1,11,2
104,75,75,90.8,11,2
105,70,70,93.5,11,2
106,61.42,61.42,0.1,11,2
107,60,60,89.3,11,2
108,56.24,56.24,14.8,11,2
109,56,56,62.4,11,2
110,55,55,5.2,11,2
111,51,51,46.8,11,2
112,50,50,55.2,11,2
113,47.98,47.98,75.9,11,2
114,46,46,46.8,11,2
115,45.5,45.5,5.8,11,2
116,45,45,20.9,11,2
117,42.98,42.98,74.5,11,2
118,41.4,41.4,20,11,2
119,41,41,46.8,11,2
120,40,40,50.3,11,2
121,38.82,38.82,0.5,11,2
122,38.4,38.4,20,11,2
123,38,38,50,11,2
124,36.4,36.4,10,11,2
125,36.3,36.3,3.9,11,2
126,36,36,46.8,11,2
127,35.5,35.5,5.8,11,2
128,32.31,32.31,200,11,2
129,31,31,62.4,11,2
130,30.5,30.5,3.9,11,2
131,30,30,107.9,11,2
132,27.85,27.85,49.9,11,2
133,25.83,25.83,1,11,2
134,25.13,25.13,52,11,2
135,25,25,6.3,11,2
136,24.85,24.85,24.9,11,2
137,24.1,24.1,75,11,2
138,21.1,21.1,65,11,2
139,20.85,20.85,24.9,11,2
140,20.13,20.13,52,11,2
141,20,20,65.7,11,2
142,19,19,0.6,11,2
143,18.9,18.9,190,11,2
144,18.4,18.4,138,11,2
145,17.2,17.2,138,11,2
146,16.9,16.9,190,11,2
147,15.13,15.13,52,11,2
148,15.1,15.1,138,11,2
149,15,15,2.7,11,2
150,14.9,14.9,78,11,2
151,13.9,13.9,72,11,2
152,12.9,12.9,190,11,2
153,12.3,12.3,138,11,2
154,12,12,33,11,2
155,10,10,180.3,11,2
156,9.99,9.99,73,11,2
157,9.85,9.85,100,11,2
158,8.8,8.8,138,11,2
159,8,8,33,11,2
160,5,5,279,11,2
161,3,3,33,11,2
162,2.99,2.99,105,11,2
163,2,2,100,11,2
164,1,1,121.3,11,2
165,0.5,0.5,75.3,11,2
166,0.1,0.1,37.6,11,2
167,0,0,8580.4,11,2
168,180.3,180.3,10683,11,3
169,180,180,536.1,11,3
170,150,150,8.3,11,3
171,140,140,7.6,11,3
172,130,130,6.2,11,3
173,120,120,50.8,11,3
174,110,110,203.5,11,3
175,100,100,341.6,11,3
176,96.3,96.3,61.2,11,3
177,91,91,0.1,11,3
178,90,90,88.1,11,3
179,89.99,89.99,200,11,3
180,85,85,0.3,11,3
181,84.98,84.98,300,11,3
182,80,80,338.7,11,3
183,77.68,77.68,1134.5,11,3
184,76,76,0.1,11,3
185,75,75,88.2,11,3
186,73.86,73.86,10.1,11,3
187,70,70,12.9,11,3
188,60,60,189.3,11,3
189,56.24,56.24,13.9,11,3
190,55,55,4.9,11,3
191,54.32,54.32,0.1,11,3
192,50,50,6.9,11,3
193,49.3,49.3,60.5,11,3
194,45.5,45.5,5.9,11,3
195,45,45,94.9,11,3
196,44.3,44.3,45.4,11,3
197,42.5,42.5,1.2,11,3
198,41.4,41.4,20,11,3
199,40,40,174,11,3
200,39.3,39.3,45.4,11,3
201,38.4,38.4,20,11,3
202,38,38,100,11,3
203,36.82,36.82,0.5,11,3
204,36.4,36.4,10,11,3
205,35.5,35.5,5.9,11,3
206,34.3,34.3,45.4,11,3
207,33.01,33.01,200,11,3
208,30.5,30.5,6.7,11,3
209,30,30,104.1,11,3
210,29.3,29.3,45.4,11,3
211,28.6,28.6,45,11,3
212,27.6,27.6,45,11,3
213,26.6,26.6,30,11,3
214,25.13,25.13,52,11,3
215,25,25,6,11,3
216,24.3,24.3,60.5,11,3
217,23.6,23.6,30,11,3
218,23,23,75,11,3
219,21.98,21.98,0.9,11,3
220,20.79,20.79,50,11,3
221,20.13,20.13,52,11,3
222,20,20,107,11,3
223,19,19,0.5,11,3
224,18.9,18.9,190,11,3
225,18.4,18.4,138,11,3
226,17.79,17.79,24.9,11,3
227,17.2,17.2,138,11,3
228,16.9,16.9,190,11,3
229,15.13,15.13,52,11,3
230,15.1,15.1,138,11,3
231,15,15,2.6,11,3
232,14.9,14.9,78,11,3
233,13.9,13.9,72,11,3
234,13.79,13.79,24.9,11,3
235,12.9,12.9,190,11,3
236,12.3,12.3,138,11,3
237,12,12,33,11,3
238,10,10,179.9,11,3
239,9.99,9.99,73,11,3
240,8.8,8.8,138,11,3
241,8,8,33,11,3
242,7.79,7.79,100,11,3
243,5,5,278.2,11,3
244,4.4,4.4,0.8,11,3
245,3,3,33,11,3
246,2.99,2.99,105,11,3
247,2,2,100,11,3
248,1,1,120.4,11,3
249,0.5,0.5,75.6,11,3
250,0.1,0.1,38,11,3
251,0,0,7925.4,11,3
252,180.3,180.3,10056.3,11,4
253,180,180,533.7,11,4
254,150,150,8.1,11,4
255,140,140,6.9,11,4
256,130,130,6.1,11,4
257,120,120,44.9,11,4
258,110,110,203.3,11,4
259,100,100,335.8,11,4
260,96.3,96.3,61.2,11,4
261,91,91,0.1,11,4
262,90,90,86,11,4
263,89.99,89.99,200,11,4
264,85,85,0.3,11,4
265,84.98,84.98,300,11,4
266,80,80,339.4,11,4
267,76.3,76.3,1113.9,11,4
268,75,75,86.3,11,4
269,71.97,71.97,9.8,11,4
270,70,70,12.8,11,4
271,60,60,89.3,11,4
272,56.24,56.24,13.5,11,4
273,55,55,104.5,11,4
274,52.44,52.44,0.1,11,4
275,50,50,6.7,11,4
276,48.5,48.5,61.1,11,4
277,45.5,45.5,5.9,11,4
278,45,45,72.5,11,4
279,43.5,43.5,45.8,11,4
280,43,43,1.1,11,4
281,41.4,41.4,20,11,4
282,40,40,172.5,11,4
283,38.5,38.5,45.8,11,4
284,38.4,38.4,20,11,4
285,36.4,36.4,10,11,4
286,35.99,35.99,0.9,11,4
287,35.5,35.5,5.9,11,4
288,33.5,33.5,45.8,11,4
289,32,32,100,11,4
290,31.1,31.1,200,11,4
291,30.5,30.5,2.9,11,4
292,30.1,30.1,3.8,11,4
293,30,30,107.4,11,4
294,28.54,28.54,49,11,4
295,28.5,28.5,45.8,11,4
296,27.54,27.54,45,11,4
297,26.54,26.54,30,11,4
298,25.13,25.13,52,11,4
299,25,25,26.5,11,4
300,23.54,23.54,30,11,4
301,23.5,23.5,61.1,11,4
302,23.1,23.1,75,11,4
303,22.95,22.95,49.9,11,4
304,20.6,20.6,0.8,11,4
305,20.13,20.13,52,11,4
306,20.1,20.1,40,11,4
307,20,20,63.2,11,4
308,19.95,19.95,24.9,11,4
309,19,19,0.5,11,4
310,18.9,18.9,190,11,4
311,18.4,18.4,138,11,4
312,17.2,17.2,138,11,4
313,16.9,16.9,190,11,4
314,15.95,15.95,24.8,11,4
315,15.13,15.13,52,11,4
316,15.1,15.1,138,11,4
317,15,15,2.6,11,4
318,14.9,14.9,78,11,4
319,13.9,13.9,72,11,4
320,12.9,12.9,190,11,4
321,12.3,12.3,138,11,4
322,12,12,33,11,4
323,10,10,179.7,11,4
324,9.99,9.99,73,11,4
325,9.95,9.95,99.9,11,4
326,8.8,8.8,138,11,4
327,8,8,33,11,4
328,5,5,278.3,11,4
329,4.12,4.12,0.8,11,4
330,3,3,33,11,4
331,2.99,2.99,105,11,4
332,2,2,100,11,4
333,1,1,120.6,11,4
334,0.5,0.5,75.7,11,4
335,0.1,0.1,38,11,4
336,0,0,7726.7,11,4
337,180.3,180.3,10185.9,11,5
338,180,180,538.2,11,5
339,150,150,8,11,5
340,140,140,6.7,11,5
341,130,130,6.1,11,5
342,120,120,44,11,5
343,110,110,202.9,11,5
344,100,100,329.3,11,5
345,96.3,96.3,61.2,11,5
346,91,91,0.1,11,5
347,90,90,85.3,11,5
348,89.99,89.99,200,11,5
349,85,85,0.3,11,5
350,84.98,84.98,300,11,5
351,80,80,340,11,5
352,76,76,1019.8,11,5
353,75,75,86,11,5
354,70.68,70.68,9.8,11,5
355,70,70,9.5,11,5
356,60,60,89.3,11,5
357,56.24,56.24,13.5,11,5
358,55,55,104.4,11,5
359,50.48,50.48,0.1,11,5
360,50,50,6.8,11,5
361,49,49,62,11,5
362,45.5,45.5,5.1,11,5
363,45,45,72.5,11,5
364,44,44,46.5,11,5
365,41.4,41.4,20,11,5
366,40,40,173.6,11,5
367,39,39,46.5,11,5
368,38.4,38.4,20,11,5
369,36.4,36.4,10,11,5
370,35.95,35.95,0.9,11,5
371,35.5,35.5,5,11,5
372,34,34,46.5,11,5
373,30.5,30.5,4.4,11,5
374,30.33,30.33,200,11,5
375,30,30,157.3,11,5
376,29.61,29.61,40,11,5
377,29,29,46.5,11,5
378,28.61,28.61,30,11,5
379,28.1,28.1,3.6,11,5
380,26,26,50,11,5
381,25.61,25.61,30,11,5
382,25.4,25.4,75,11,5
383,25.13,25.13,52,11,5
384,25,25,26.4,11,5
385,24,24,62,11,5
386,23.47,23.47,49.9,11,5
387,22.4,22.4,65,11,5
388,20.47,20.47,25,11,5
389,20.13,20.13,52,11,5
390,20,20,64.1,11,5
391,19.64,19.64,0.8,11,5
392,19,19,0.5,11,5
393,18.9,18.9,190,11,5
394,18.4,18.4,138,11,5
395,17.2,17.2,138,11,5
396,16.9,16.9,190,11,5
397,16.47,16.47,24.9,11,5
398,15.13,15.13,52,11,5
399,15.1,15.1,138,11,5
400,15,15,2.6,11,5
401,14.9,14.9,78,11,5
402,13.9,13.9,72,11,5
403,12.9,12.9,190,11,5
404,12.3,12.3,138,11,5
405,12,12,33,11,5
406,10.47,10.47,100,11,5
407,10,10,179.7,11,5
408,9.99,9.99,73,11,5
409,8.8,8.8,138,11,5
410,8,8,33,11,5
411,5,5,278.4,11,5
412,3.93,3.93,0.8,11,5
413,3,3,33,11,5
414,2.99,2.99,105,11,5
415,2,2,100,11,5
416,1,1,121.1,11,5
417,0.5,0.5,75.8,11,5
418,0.1,0.1,38.1,11,5
419,0,0,7636.6,11,5
420,180.3,180.3,10720.2,11,6
421,180,180,567.8,11,6
422,150,150,8.3,11,6
423,140,140,6.6,11,6
424,130,130,6.3,11,6
425,120,120,45.5,11,6
426,110,110,203.3,11,6
427,100,100,333.9,11,6
428,96.3,96.3,61.2,11,6
429,91,91,0.1,11,6
430,90,90,89.5,11,6
431,89.99,89.99,200,11,6
432,85,85,0.3,11,6
433,84.98,84.98,300,11,6
434,80,80,341.7,11,6
435,79.1,79.1,950.2,11,6
436,75,75,91.9,11,6
437,73,73,10.5,11,6
438,70,70,9.9,11,6
439,60,60,89.3,11,6
440,56.24,56.24,14.3,11,6
441,55,55,4.3,11,6
442,54.6,54.6,0.1,11,6
443,54.5,54.5,66.7,11,6
444,50,50,175.2,11,6
445,49.5,49.5,50,11,6
446,45.5,45.5,5.5,11,6
447,45,45,75.5,11,6
448,44.5,44.5,50,11,6
449,41.4,41.4,20,11,6
450,40.5,40.5,1.1,11,6
451,40,40,75.5,11,6
452,39.5,39.5,50,11,6
453,38.4,38.4,20,11,6
454,37.25,37.25,0.9,11,6
455,36.4,36.4,10,11,6
456,35.5,35.5,5.5,11,6
457,34.5,34.5,50,11,6
458,32.63,32.63,200,11,6
459,32,32,50,11,6
460,31,31,50,11,6
461,30.57,30.57,30,11,6
462,30.5,30.5,4.6,11,6
463,30.1,30.1,3.6,11,6
464,30,30,107.6,11,6
465,29.5,29.5,66.7,11,6
466,28.9,28.9,75,11,6
467,25.9,25.9,65,11,6
468,25.24,25.24,50,11,6
469,25.13,25.13,52,11,6
470,25,25,26.5,11,6
471,22.24,22.24,25,11,6
472,20.77,20.77,0.8,11,6
473,20.13,20.13,52,11,6
474,20,20,68.3,11,6
475,19,19,0.5,11,6
476,18.9,18.9,190,11,6
477,18.4,18.4,138,11,6
478,18.24,18.24,25,11,6
479,17.2,17.2,138,11,6
480,16.9,16.9,190,11,6
481,15.13,15.13,52,11,6
482,15.1,15.1,138,11,6
483,15,15,2.6,11,6
484,14.9,14.9,78,11,6
485,13.9,13.9,72,11,6
486,12.9,12.9,190,11,6
487,12.3,12.3,138,11,6
488,12.24,12.24,80.9,11,6
489,12,12,33,11,6
490,10,10,180.2,11,6
491,9.99,9.99,73,11,6
492,8.8,8.8,138,11,6
493,8,8,33,11,6
494,5,5,278.3,11,6
495,4.15,4.15,0.8,11,6
496,3,3,33,11,6
497,2.99,2.99,105,11,6
498,2,2,100,11,6
499,1,1,123.5,11,6
500,0.5,0.5,75.2,11,6
501,0.1,0.1,37.6,11,6
502,0,0,7747.6,11,6
503,180.3,180.3,11785.9,11,7
504,180,180,606.8,11,7
505,150,150,9.5,11,7
506,140,140,6.6,11,7
507,130,130,6.7,11,7
508,120,120,51.5,11,7
509,110,110,118.7,11,7
510,100,100,326.9,11,7
511,97,97,0.1,11,7
512,96.3,96.3,81.6,11,7
513,95,95,0.3,11,7
514,91,91,0.1,11,7
515,90,90,445.3,11,7
516,89.99,89.99,200,11,7
517,88.78,88.78,814.9,11,7
518,84.98,84.98,300,11,7
519,77.83,77.83,13.2,11,7
520,75,75,113.4,11,7
521,70,70,111.7,11,7
522,63.04,63.04,0.1,11,7
523,63,63,77.1,11,7
524,60,60,89.3,11,7
525,58,58,57.8,11,7
526,56.24,56.24,17.2,11,7
527,55,55,64.4,11,7
528,53,53,57.8,11,7
529,50.5,50.5,6.9,11,7
530,50,50,6.2,11,7
531,49.17,49.17,91.6,11,7
532,48,48,57.8,11,7
533,44.25,44.25,150,11,7
534,44.17,44.17,41,11,7
535,43,43,57.8,11,7
536,42.19,42.19,0.9,11,7
537,42,42,50,11,7
538,41.4,41.4,20,11,7
539,41,41,50,11,7
540,40.5,40.5,6.8,11,7
541,40,40,40.3,11,7
542,39.9,39.9,75,11,7
543,38.57,38.57,30,11,7
544,38.4,38.4,20,11,7
545,38,38,77.1,11,7
546,36.9,36.9,60,11,7
547,36.4,36.4,10,11,7
548,35.57,35.57,30,11,7
549,35.5,35.5,5.7,11,7
550,35.44,35.44,49.9,11,7
551,35.3,35.3,4.1,11,7
552,35,35,10.2,11,7
553,32.44,32.44,25,11,7
554,30,30,199.3,11,7
555,29,29,1.3,11,7
556,28.44,28.44,25,11,7
557,25.13,25.13,52,11,7
558,25,25,6.4,11,7
559,24,24,50,11,7
560,23.93,23.93,0.9,11,7
561,20.13,20.13,52,11,7
562,20,20,74.7,11,7
563,19.44,19.44,81.9,11,7
564,18.9,18.9,190,11,7
565,18.4,18.4,138,11,7
566,17.2,17.2,138,11,7
567,16.9,16.9,190,11,7
568,15.13,15.13,52,11,7
569,15.1,15.1,138,11,7
570,15,15,2.6,11,7
571,14.9,14.9,78,11,7
572,13.9,13.9,72,11,7
573,12.9,12.9,190,11,7
574,12.3,12.3,138,11,7
575,12,12,33,11,7
576,10,10,179.6,11,7
577,9.99,9.99,73,11,7
578,8.8,8.8,138,11,7
579,8,8,33,11,7
580,5,5,278,11,7
581,4.79,4.79,0.8,11,7
582,3,3,33,11,7
583,2.99,2.99,105,11,7
584,2,2,100,11,7
585,1,1,128.6,11,7
586,0.5,0.5,159.3,11,7
587,0.4,0.4,20.7,11,7
588,0.1,0.1,35.7,11,7
589,0,0,8020.6,11,7
590,180.3,180.3,14702.8,11,8
591,180,180,598.4,11,8
592,150,150,11.8,11,8
593,140,140,8.6,11,8
594,133.37,133.37,79.8,11,8
595,130,130,7.2,11,8
596,120,120,63.5,11,8
597,118.23,118.23,22.2,11,8
598,110,110,34.7,11,8
599,105,105,527.6,11,8
600,100,100,349.4,11,8
601,97,97,0.2,11,8
602,92,92,0.1,11,8
603,91,91,0.2,11,8
604,90.37,90.37,16.2,11,8
605,90,90,467,11,8
606,89.99,89.99,200,11,8
607,84.98,84.98,300,11,8
608,80,80,0.1,11,8
609,75,75,190.7,11,8
610,72.84,72.84,0.1,11,8
611,70,70,62.3,11,8
612,66,66,6.9,11,8
613,60.19,60.19,109.7,11,8
614,60,60,89.3,11,8
615,56.24,56.24,20.7,11,8
616,56,56,88.6,11,8
617,55.19,55.19,58.5,11,8
618,55,55,5.4,11,8
619,54,54,66.4,11,8
620,52,52,66.4,11,8
621,51.11,51.11,0.8,11,8
622,50.5,50.5,80.9,11,8
623,50,50,67.8,11,8
624,49.23,49.23,100,11,8
625,47.5,47.5,65,11,8
626,46.1,46.1,0.2,11,8
627,46,46,66.4,11,8
628,45.71,45.71,49.9,11,8
629,44,44,88.6,11,8
630,41.4,41.4,20,11,8
631,40.9,40.9,4.3,11,8
632,40,40,90,11,8
633,39,39,1.3,11,8
634,38.4,38.4,20,11,8
635,38,38,4.8,11,8
636,36.4,36.4,10,11,8
637,35.5,35.5,5.9,11,8
638,35,35,10.3,11,8
639,33,33,5,11,8
640,32,32,50,11,8
641,30.5,30.5,11.4,11,8
642,30,30,195.8,11,8
643,28.55,28.55,1.1,11,8
644,28,28,1.2,11,8
645,25.13,25.13,52,11,8
646,25,25,2.8,11,8
647,22,22,50,11,8
648,20.13,20.13,52,11,8
649,20,20,37,11,8
650,19,19,14.2,11,8
651,18.9,18.9,190,11,8
652,18.4,18.4,138,11,8
653,17.2,17.2,138,11,8
654,16.9,16.9,190,11,8
655,16.71,16.71,182.5,11,8
656,15.13,15.13,52,11,8
657,15.1,15.1,138,11,8
658,14.9,14.9,78,11,8
659,13.9,13.9,72,11,8
660,13.71,13.71,182.4,11,8
661,12.9,12.9,190,11,8
662,12.3,12.3,138,11,8
663,10,10,179,11,8
664,9.99,9.99,73,11,8
665,8.8,8.8,138,11,8
666,5,5,278,11,8
667,2.99,2.99,105,11,8
668,2,2,100,11,8
669,1,1,134.4,11,8
670,0.5,0.5,296.4,11,8
671,0.1,0.1,58.8,11,8
672,0,0,9486.5,11,8
673,180.3,180.3,16140.9,11,9
674,180,180,600.5,11,9
675,150,150,12.4,11,9
676,140,140,9.7,11,9
677,133.37,133.37,135.1,11,9
678,130,130,7.6,11,9
679,123.5,123.5,624.3,11,9
680,120,120,71.5,11,9
681,118.23,118.23,17.9,11,9
682,110,110,101.4,11,9
683,100,100,363.2,11,9
684,97,97,0.9,11,9
685,94,94,0.6,11,9
686,93.06,93.06,20.8,11,9
687,92,92,0.6,11,9
688,91,91,0.3,11,9
689,90,90,383.7,11,9
690,89.99,89.99,200,11,9
691,84.98,84.98,300,11,9
692,80,80,199.9,11,9
693,78.5,78.5,129.2,11,9
694,75.77,75.77,0.2,11,9
695,75,75,0.2,11,9
696,73.5,73.5,87,11,9
697,70,70,59.1,11,9
698,66,66,9.1,11,9
699,60,60,90.1,11,9
700,59,59,6.5,11,9
701,57.3,57.3,0.8,11,9
702,57,57,95.1,11,9
703,56.24,56.24,25.2,11,9
704,55,55,71.3,11,9
705,53,53,71.3,11,9
706,51.9,51.9,75,11,9
707,51.63,51.63,50,11,9
708,51,51,71.3,11,9
709,50,50,1.2,11,9
710,49,49,1.4,11,9
711,48.9,48.9,65,11,9
712,47.5,47.5,4.4,11,9
713,47.02,47.02,8.4,11,9
714,47,47,71.3,11,9
715,45,45,95.1,11,9
716,44,44,6.4,11,9
717,41.4,41.4,20,11,9
718,40,40,70.4,11,9
719,38.4,38.4,20,11,9
720,36.4,36.4,10,11,9
721,36,36,50,11,9
722,35,35,14.1,11,9
723,34.63,34.63,49.9,11,9
724,33,33,2.4,11,9
725,30,30,193.5,11,9
726,29.63,29.63,49.9,11,9
727,29.11,29.11,1.1,11,9
728,29,29,12.8,11,9
729,25.13,25.13,52,11,9
730,25,25,3,11,9
731,24,24,50,11,9
732,20.13,20.13,52,11,9
733,20,20,37,11,9
734,18.9,18.9,190,11,9
735,18.4,18.4,138,11,9
736,17.2,17.2,138,11,9
737,16.9,16.9,190,11,9
738,15.13,15.13,52,11,9
739,15.1,15.1,138,11,9
740,14.9,14.9,78,11,9
741,13.9,13.9,72,11,9
742,12.9,12.9,190,11,9
743,12.3,12.3,138,11,9
744,10,10,105.7,11,9
745,8.8,8.8,138,11,9
746,5,5,97,11,9
747,2,2,100,11,9
748,1,1,137.6,11,9
749,0.5,0.5,214.9,11,9
750,0.4,0.4,10.4,11,9
751,0.1,0.1,57.5,11,9
752,0,0,9867.4,11,9
753,180.3,180.3,16862.3,11,10
754,180,180,606.5,11,10
755,150,150,14.6,11,10
756,140,140,10.5,11,10
757,139.99,139.99,586,11,10
758,133.37,133.37,140.7,11,10
759,130,130,9.5,11,10
760,120,120,86.2,11,10
761,118.23,118.23,12.3,11,10
762,110,110,222.8,11,10
763,100,100,439.6,11,10
764,97.85,97.85,26.5,11,10
765,94,94,0.5,11,10
766,90,90,421.7,11,10
767,89.99,89.99,200,11,10
768,85,85,2.2,11,10
769,84.98,84.98,300,11,10
770,80.77,80.77,0.2,11,10
771,80,80,276.7,11,10
772,75,75,191.2,11,10
773,70,70,134.8,11,10
774,67,67,10.9,11,10
775,60,60,90.2,11,10
776,59.26,59.26,0.9,11,10
777,59,59,8.3,11,10
778,56.25,56.25,111.6,11,10
779,56.24,56.24,34.3,11,10
780,54.25,54.25,83.7,11,10
781,52.84,52.84,50,11,10
782,52.25,52.25,83.7,11,10
783,51.8,51.8,4.2,11,10
784,50.25,50.25,83.7,11,10
785,50,50,1.5,11,10
786,49,49,1.4,11,10
787,47.9,47.9,65,11,10
788,46.25,46.25,83.7,11,10
789,46.1,46.1,8.3,11,10
790,44.25,44.25,111.6,11,10
791,44,44,8.2,11,10
792,41.4,41.4,20,11,10
793,40,40,6.5,11,10
794,38.4,38.4,20,11,10
795,36.4,36.4,10,11,10
796,35.84,35.84,50,11,10
797,35,35,14.9,11,10
798,33,33,2.4,11,10
799,31,31,1.4,11,10
800,30.84,30.84,49.9,11,10
801,30,30,232.3,11,10
802,29,29,16.4,11,10
803,25.13,25.13,52,11,10
804,25,25,3.6,11,10
805,22,22,50,11,10
806,20.13,20.13,52,11,10
807,20,20,2,11,10
808,18.9,18.9,190,11,10
809,18.4,18.4,138,11,10
810,17.2,17.2,138,11,10
811,16.9,16.9,190,11,10
812,15.13,15.13,52,11,10
813,15.1,15.1,138,11,10
814,14.9,14.9,78,11,10
815,13.9,13.9,72,11,10
816,12.9,12.9,190,11,10
817,12.3,12.3,138,11,10
818,10,10,104.9,11,10
819,8.8,8.8,138,11,10
820,7,7,50,11,10
821,5,5,96.9,11,10
822,2,2,100,11,10
823,1,1,145.8,11,10
824,0.5,0.5,102,11,10
825,0.1,0.1,53.9,11,10
826,0,0,9974.5,11,10
827,180.3,180.3,17229.2,11,11
828,180,180,602.5,11,11
829,150,150,14.9,11,11
830,140,140,10.8,11,11
831,133.37,133.37,141.4,11,11
832,130,130,9.9,11,11
833,129.07,129.07,578.5,11,11
834,120,120,88.2,11,11
835,118.23,118.23,11.6,11,11
836,110,110,203.8,11,11
837,100,100,460.1,11,11
838,98.58,98.58,27.8,11,11
839,95,95,0.1,11,11
840,90,90,426.6,11,11
841,89.99,89.99,200,11,11
842,84.98,84.98,300,11,11
843,84.07,84.07,2.4,11,11
844,80.52,80.52,0.2,11,11
845,80,80,295.9,11,11
846,75,75,187.2,11,11
847,70,70,141.8,11,11
848,63,63,11.6,11,11
849,60.19,60.19,0.9,11,11
850,60,60,90.3,11,11
851,59,59,8.5,11,11
852,56.24,56.24,36.1,11,11
853,52.9,52.9,4.4,11,11
854,51,51,113.6,11,11
855,50.5,50.5,50,11,11
856,50,50,1.8,11,11
857,49,49,86.5,11,11
858,47,47,85.2,11,11
859,45,45,135.2,11,11
860,44,44,8.5,11,11
861,41.4,41.4,20,11,11
862,41,41,135.2,11,11
863,40,40,14.9,11,11
864,39,39,113.6,11,11
865,38.4,38.4,20,11,11
866,36.4,36.4,10,11,11
867,35,35,14.9,11,11
868,33,33,2.4,11,11
869,31.98,31.98,1.8,11,11
870,30,30,232.1,11,11
871,29,29,16.7,11,11
872,28.5,28.5,50,11,11
873,25.13,25.13,52,11,11
874,25,25,3.9,11,11
875,22.5,22.5,49.9,11,11
876,20.5,20.5,25,11,11
877,20.13,20.13,52,11,11
878,20,20,2,11,11
879,18.9,18.9,190,11,11
880,18.4,18.4,138,11,11
881,17.2,17.2,138,11,11
882,16.9,16.9,190,11,11
883,15.13,15.13,52,11,11
884,15.1,15.1,138,11,11
885,14.9,14.9,78,11,11
886,13.9,13.9,72,11,11
887,12.9,12.9,190,11,11
888,12.3,12.3,138,11,11
889,10,10,104.4,11,11
890,8.8,8.8,138,11,11
891,5,5,96.7,11,11
892,2,2,100,11,11
893,1,1,146.9,11,11
894,0.5,0.5,111.3,11,11
895,0.1,0.1,53.5,11,11
896,0,0,10012,11,11
897,180.3,180.3,17271.9,11,12
898,180,180,518.7,11,12
899,150,150,15,11,12
900,140,140,11.1,11,12
901,133.37,133.37,135.6,11,12
902,130,130,10,11,12
903,120,120,89.4,11,12
904,118.23,118.23,17.4,11,12
